2098	12449	13703	8005	11401	3381	10704	4739	10015	859	6713	13778	7205	16042	14144	13654	2740	9007	4063	1546	11224	801	11754	7859	5681	7312	6854	15021	553	4984	8004	16005	9848	7425	3917	11918	3039	2559	14781	13378	15733	4773	15202	7902	2297	9462	2552	13683	14982	1846	7964	16072	14649	12726	2439	12852	2332	7508	13938	11055	7795	359	13664	7692	1508	9022	9333	2570	6163	1406	4716	11332	7616	14939	8321	5437	10385	10071	995	1414	5990	517	2060	11150	16309	9627	11529	14322	3521	13826	15876	15377	4712	6733	13311	14719	9807	5548	6726	2374	1088	2638	10568	15159	1675	8229	3906	10072	7873	3712	11857	4496	5481	6953	16147	13432	12136	8277	6888	8552	11869	182	3964	10956	3959	3674	12508	5253	
2369	8383	5066	6807	14007	7825	6018	9287	6066	10281	4849	10259	13517	10594	15238	3670	1509	12943	12605	4007	11413	13587	7013	15298	15556	12428	963	13553	9447	6457	1104	4972	12805	14860	3554	12021	2818	1169	1579	14560	2694	6608	14191	3761	8126	12918	9517	15304	7759	8117	9130	13465	12654	1892	1333	2027	996	5465	8251	12727	772	7887	13181	7121	13344	15747	5813	3395	1646	5732	8068	7890	951	4945	15701	14941	14921	12840	13978	3987	1771	2059	4351	2644	11392	6021	16347	2630	2452	9343	2588	4878	16307	12776	15453	7908	11135	2460	7081	13348	14087	543	1012	12530	2106	15963	198	153	14537	14012	11303	10091	4013	9659	1004	1668	4780	12118	7225	3646	4156	6213	7322	11240	14181	5468	2140	4700	
2863	6448	9823	3430	2391	9481	6680	4277	9265	4495	4127	14163	13361	4114	10835	3481	8554	7910	376	5846	13763	7354	9757	8822	594	8491	9202	9847	10209	9004	1799	6375	778	15962	13158	7230	2277	8202	3000	6693	13668	2230	11987	16261	6705	13802	2234	12090	15737	1031	2015	12261	14490	16202	5814	7718	9900	2056	13547	148	9598	9880	3549	6224	8223	10257	15874	6816	3990	3473	10011	15022	1725	5128	7533	11069	2493	11616	12570	9056	2956	7154	14156	10629	9995	15773	11389	10435	15563	9993	1797	13876	12161	5937	11925	6585	9603	5904	11048	2485	13891	7500	12496	10831	11310	11026	2475	4093	14026	2945	3677	10336	3608	4537	10776	138	12271	5368	2634	2795	8431	1002	7200	5770	3272	4994	1637	2943	
10898	6736	13505	3414	2574	6045	3786	10185	9683	7113	8051	14304	10239	6950	8326	531	3711	3367	13630	2699	2872	10600	4732	1452	3552	10161	5848	1010	12133	3265	1023	12781	10037	16017	5780	11937	14077	6176	16112	6056	2907	4986	8869	4425	13275	11059	4756	1971	15113	12625	7025	14194	13995	11551	7534	16197	876	11979	6013	10953	3253	15729	4904	11760	6300	1356	7610	274	2191	10894	13290	708	4632	2099	1105	14524	13602	11445	528	15405	8333	4547	8879	643	13574	10297	432	3314	7499	11974	8789	2306	11933	10093	9029	1820	8231	14742	14133	14943	12422	15857	10248	1072	2778	2115	14037	1026	11117	9528	5669	4226	6328	1802	2878	3442	10105	14377	13875	8240	13022	7370	7496	2076	1516	11511	8254	11695	
4285	11531	11672	13100	790	9888	9231	13380	12051	5812	9313	6615	4457	13974	2203	1949	11304	1722	8393	2035	2584	15251	5505	3969	15960	9881	5892	885	15359	3428	9254	4608	6193	7830	14419	6170	2888	11458	10495	5805	12121	9359	2427	15137	15408	11525	6590	11510	9403	9192	13954	655	12612	5690	8096	10908	8292	14658	6942	761	1889	8945	12470	1038	5384	9981	11734	7032	1270	9840	11010	13883	2745	16161	12826	4857	14577	10457	6494	15914	8953	15403	11335	1537	9218	8072	3100	5753	8681	467	3398	14247	2553	11784	6453	9869	3353	13823	5487	14895	9494	3384	6846	14928	4188	3662	12611	13298	3556	3357	8766	14885	5000	8174	5130	13945	13770	13930	14659	5379	7243	10469	629	15757	2838	2031	10470	12013	
14638	3996	10062	1628	12749	2935	15785	10766	2939	2537	15350	8717	9747	4993	15808	8930	2365	8365	15732	10900	6240	4552	606	4828	5169	11005	11207	11183	8325	4784	11078	9150	2344	9796	468	13731	1210	13734	15016	1354	5689	10038	4186	13783	15547	15263	2520	12721	16282	12200	406	3149	2728	7675	5671	15982	11140	9578	13401	7478	11844	14802	6095	9482	5228	8362	683	5800	7404	14754	12290	13830	501	12185	864	8194	1435	15972	5165	11091	3907	3474	7136	6295	14609	16046	10790	12684	2213	4652	796	1540	3756	14501	2000	14590	11714	3935	13117	8708	8261	1339	14016	4920	677	3841	15008	14929	11067	10836	7661	9813	16079	7809	16138	9413	8902	12085	16250	6398	2186	8099	3746	12164	2343	9736	5861	14451	
5820	5960	2307	3443	617	5003	8835	1323	4053	398	2962	13850	4172	13297	7644	15172	14699	3133	11267	7400	1334	5585	11835	8819	10642	8929	1663	9650	10426	13843	2199	1003	7994	5577	4609	10101	1224	1994	1932	11744	7656	3019	12903	13146	9498	1746	4884	2967	9785	8394	13597	13009	1975	2251	12882	4035	11258	2822	2062	73	9066	6264	7029	9051	8525	16032	4066	6315	13812	14011	8533	13920	5246	6507	10000	8465	12461	6577	12204	8692	4266	8249	9070	6349	13759	1939	9797	9967	16344	4916	217	1143	7647	789	11241	14923	5333	14667	165	3628	4656	15037	16371	4462	1071	6722	13405	12418	9270	13633	11107	644	6353	12734	5679	11408	93	6322	8213	12167	6496	5416	8586	2604	2803	10787	3573	4271	
7592	7822	3445	10261	10872	7092	11405	14157	11828	11845	128	9013	8387	2802	5596	8570	15853	7811	5299	8472	12166	14578	8205	1735	8144	11721	15902	10619	2094	1642	12579	11165	6233	13	4272	4853	3729	13605	11633	3419	10050	2116	1218	13637	4418	9661	5543	13243	12547	12486	15678	6331	6834	6573	14825	4335	2544	1177	794	1707	14430	14069	12970	2349	5560	8719	1687	8574	1866	11725	4769	14260	8290	9585	8280	10781	295	6305	6893	2874	1257	2543	3169	6651	11989	4038	10809	3457	8256	16101	8016	118	13480	2983	1041	6433	1316	12389	12413	4238	13646	3341	15663	9988	7785	1340	15079	7332	4721	6273	1682	12336	2289	12055	4234	6485	1081	1090	11901	4565	15514	13833	8631	15157	13718	13130	5716	13489	
8409	2070	7433	2101	7614	13267	9217	2456	4243	11060	3763	8699	16172	1393	3489	13035	14170	3634	14838	9155	424	12996	10712	3988	12061	14615	130	4587	3110	8623	6673	1191	7258	11217	11789	668	2572	14123	9169	7935	6706	10408	11644	13228	6088	7023	8814	1168	2938	9794	8622	16087	939	7037	15760	14155	9577	14660	15730	10868	1847	11849	11704	8044	8045	13691	15595	287	9554	4961	13202	7486	11662	15153	12341	4251	3867	4482	6798	13931	11138	3691	4787	12407	5452	14800	8767	11914	9788	120	6212	5741	4995	13327	3905	13093	6063	1034	12249	14367	4661	8253	8567	10824	13051	15892	3380	2800	8313	7163	15926	3324	10080	8221	6897	15138	15922	14797	7750	3799	3068	11225	9862	6976	7888	2929	13322	605	
12258	9001	9583	14106	13623	1898	12671	8643	9255	14513	9730	3578	14432	2925	3156	13520	4074	15716	7553	988	8668	15779	11804	7361	7585	920	2329	6488	12623	14557	10529	10788	8396	5862	1827	2409	2416	7391	12003	5851	11089	14525	16137	12965	11398	2700	7950	10156	9998	5362	1900	15490	7627	12868	9110	7899	7178	3054	4718	9781	5042	10020	9503	8807	15522	4214	5401	3476	15378	11673	5502	980	12036	15268	3845	5571	808	10950	7878	492	11269	11515	10221	3627	7523	7940	7098	11597	12849	15698	5051	3913	5175	15905	14470	13742	8726	1018	14567	1740	2713	14388	15117	8946	7827	12419	13339	12881	11287	3602	10098	15788	8055	4822	9702	4685	15854	686	15535	1302	6486	11124	9425	13431	2944	3101	9466	4973	
